,dmg,dmp,rmp,densidade,estoque_c,na,icv,altura,diam_espiga,comp_espiga,n_plantas,n_espigas,n_espigas_com,peso_espigas,produtividade
dmg,1.0,0.004687710915566048,0.08418797932580149,0.05012992462402412,-0.0014732257780483663,0.13181280440697093,0.04046946070829102,0.15223350025623392,0.20488697886633941,0.29965765282325285,0.04827586947443188,0.11097180168507007,0.24273092386637507,0.24455883997503125,0.24273092386637507
dmp,0.004687710915566048,1.0,-0.006896122122343038,0.20639247234220198,0.29713822099481463,0.2091144799700928,0.12849211022610585,0.10888764011861507,-0.15395597831095864,0.5194374765107251,0.03416980257201233,0.09576729605825789,0.12350048036001211,0.18067033337902935,0.12350048036001211
rmp,0.08418797932580149,-0.006896122122343038,1.0,-0.31507344081109384,-0.36729830318581824,-0.02593056612242439,0.026513504221853588,-0.2077511960590806,-0.19568481964979456,0.052445259247210795,-0.2689376480765677,-0.2209818271949183,-0.0996994400218125,-0.10218100372337761,-0.0996994400218125
densidade,0.05012992462402412,0.20639247234220198,-0.31507344081109384,1.0,0.9617642415801773,0.007243526483791718,0.2226571561603437,0.08250301705057947,0.042111989004545027,0.0740384868995565,0.12905699375084914,0.08811561420427746,0.0230712359100111,0.03395202956614884,0.0230712359100111
estoque_c,-0.0014732257780483663,0.29713822099481463,-0.36729830318581824,0.9617642415801773,1.0,0.013942374858503692,0.26903438015336306,0.14702589773408412,0.019537317887825364,0.1474940132822652,0.14094863323552237,0.12178015828635441,0.056497793533734506,0.07696688018457779,0.056497793533734506
na,0.13181280440697093,0.2091144799700928,-0.02593056612242439,0.007243526483791718,0.013942374858503692,1.0,0.08056495837790392,0.11268614768701071,-0.09371181340879714,0.3144100036632298,-0.08886861711794088,0.004597688900509037,0.15147905258251623,0.18548454744316584,0.15147905258251623
icv,0.04046946070829102,0.12849211022610585,0.026513504221853588,0.2226571561603437,0.26903438015336306,0.08056495837790392,1.0,0.3080244166144935,0.08047311275128126,0.35105319045086386,-0.16244595928903502,-0.16708942216693384,0.1380483748357624,0.1851165268709249,0.1380483748357624
altura,0.15223350025623392,0.10888764011861507,-0.2077511960590806,0.08250301705057947,0.14702589773408412,0.11268614768701071,0.3080244166144935,1.0,0.38653630556162394,0.3360310808543511,-0.024141630623387235,0.18788109128111777,0.7300120873112511,0.762833099289527,0.7300120873112511
diam_espiga,0.20488697886633941,-0.15395597831095864,-0.19568481964979456,0.042111989004545027,0.019537317887825364,-0.09371181340879714,0.08047311275128126,0.38653630556162394,1.0,0.08982885675192719,0.29523289281347515,0.2843659586187512,0.4021414943589861,0.40891949995173094,0.4021414943589861
comp_espiga,0.29965765282325285,0.5194374765107251,0.052445259247210795,0.0740384868995565,0.1474940132822652,0.3144100036632298,0.35105319045086386,0.3360310808543511,0.08982885675192719,1.0,0.02990530574198865,0.2050931041045014,0.4028140498200246,0.49025574236101765,0.4028140498200246
n_plantas,0.04827586947443188,0.03416980257201233,-0.2689376480765677,0.12905699375084914,0.14094863323552237,-0.08886861711794088,-0.16244595928903502,-0.024141630623387235,0.29523289281347515,0.02990530574198865,1.0,0.8270402769663538,0.1513469976720237,0.09207607362836856,0.1513469976720237
n_espigas,0.11097180168507007,0.09576729605825789,-0.2209818271949183,0.08811561420427746,0.12178015828635441,0.004597688900509037,-0.16708942216693384,0.18788109128111777,0.2843659586187512,0.2050931041045014,0.8270402769663538,1.0,0.5129912316439748,0.4513568582379636,0.5129912316439748
n_espigas_com,0.24273092386637507,0.12350048036001211,-0.0996994400218125,0.0230712359100111,0.056497793533734506,0.15147905258251623,0.1380483748357624,0.7300120873112511,0.4021414943589861,0.4028140498200246,0.1513469976720237,0.5129912316439748,1.0,0.9732899403482834,1.0
peso_espigas,0.24455883997503125,0.18067033337902935,-0.10218100372337761,0.03395202956614884,0.07696688018457779,0.18548454744316584,0.1851165268709249,0.762833099289527,0.40891949995173094,0.49025574236101765,0.09207607362836856,0.4513568582379636,0.9732899403482834,1.0,0.9732899403482834
produtividade,0.24273092386637507,0.12350048036001211,-0.0996994400218125,0.0230712359100111,0.056497793533734506,0.15147905258251623,0.1380483748357624,0.7300120873112511,0.4021414943589861,0.4028140498200246,0.1513469976720237,0.5129912316439748,1.0,0.9732899403482834,1.0
