ano,profundidade_cm,parcela,cultura,dmg,dmp,rmp,densidade,estoque_c,na,icv,altura,diam_espiga,comp_espiga,n_plantas,n_espigas,n_espigas_com,peso_espigas,produtividade
,0-10,NT,Cowpea,-0.5962372778847748,-0.8949947545004238,-0.7456160161925993,-0.4726268487415444,-0.4983538619894255,10.4,-0.08027460283498654,2.0,55.2,18.4,13666.666666666666,12500.0,10000.0,2213.3333333333335,10000.0
,0-10,NT,Cowpea,-0.5508998253850244,-0.7618988307470118,-0.6563993280660181,-0.48714804165323217,-0.5084044646802867,6.9,-0.08027460283498654,2.1,55.2,18.4,13666.666666666666,12500.0,10000.0,2213.3333333333335,10000.0
,0-10,NT,Cowpea,0.33362090327498295,0.9864159535690883,0.6600184284220356,-0.5119000750254263,-0.5255361738124364,5.8,-0.08027460283498654,1.95,55.2,18.4,13666.666666666666,12500.0,10000.0,2213.3333333333335,10000.0
,0-10,NT,Cowpea,-0.6209895924866847,-0.8896097881140314,-0.755299690300358,-0.32114440450370374,-0.37788099604522557,12.6,-0.7759878274048753,1.9,53.0,15.6,13166.666666666666,13000.0,8500.0,1635.0,8500.0
,0-10,NT,Cowpea,-0.5805746110400435,-0.9150889914858878,-0.7478318012629657,-0.22048613545677348,-0.30411387201738044,7.8,-0.7759878274048753,2.1,53.0,15.6,13166.666666666666,13000.0,8500.0,1635.0,8500.0
,0-10,NT,Cowpea,-0.5694355593583011,-0.8538821108428567,-0.7116588351005789,-0.4323635411227719,-0.45938762161041824,6.3,-0.7759878274048753,2.0,53.0,15.6,13166.666666666666,13000.0,8500.0,1635.0,8500.0
,0-10,NT,Cowpea,-0.3980043949566616,-0.42720225984819654,-0.4126033274024291,-0.2557990364011055,-0.29570421832868665,10.533,0.00668955023624968,2.2,52.0,16.8,11666.666666666666,10500.0,8000.0,1935.0,8000.0
,0-10,NT,Cowpea,-0.5626098564461463,-0.8369269530164786,-0.6997684047313124,-0.34028597697820256,-0.36406981524192517,10.533,0.00668955023624968,2.2,52.0,16.8,11666.666666666666,10500.0,8000.0,1935.0,8000.0
,0-10,NT,Cowpea,-0.47869372391232407,-0.7190875735313211,-0.5988906487218226,-0.1307187610936149,-0.194491088523542,10.533,0.00668955023624968,2.15,52.0,16.8,11666.666666666666,10500.0,8000.0,1935.0,8000.0
,0-10,NT,Millet,-0.4976356809260364,-0.5293591509357828,-0.5134974159309096,-0.37757904059230946,-0.4408988123823093,17.7,0.35454616252119453,2.1,52.8,16.6,10833.333333333334,10333.333333333334,7666.666666666667,1940.0,7666.666666666667
,0-10,NT,Millet,-0.5164406585928601,-0.7658278426550124,-0.6411342506239363,0.3349494934153062,0.03413492900364969,13.5,0.35454616252119453,2.15,52.8,16.6,10833.333333333334,10333.333333333334,7666.666666666667,1940.0,7666.666666666667
,0-10,NT,Millet,-0.451651960272847,-0.5808854831852514,-0.5162687217290491,-1.0330128842880626,-0.8778682474876898,12.5,0.35454616252119453,2.3,52.8,16.6,10833.333333333334,10333.333333333334,7666.666666666667,1940.0,7666.666666666667
,0-10,NT,Millet,-0.12031335469400661,0.2011169604854411,0.04040180289571724,-0.35183692588522686,-0.39857677250859264,10.3,1.311151846304792,1.9,52.4,17.4,13666.666666666666,13500.0,7333.333333333333,1873.3333333333333,7333.333333333333
,0-10,NT,Millet,0.632067152587078,1.4497683033581348,1.0409177279726065,-0.5152003461417193,-0.5191285786811469,4.4,1.311151846304792,2.0,52.4,17.4,13666.666666666666,13500.0,7333.333333333333,1873.3333333333333,7333.333333333333
,0-10,NT,Millet,-0.49793639224517977,-0.6346577026620265,-0.5662970474536031,-0.4881381229881186,-0.49915838048690514,12.5,1.311151846304792,2.1,52.4,17.4,13666.666666666666,13500.0,7333.333333333333,1873.3333333333333,7333.333333333333
,0-10,NT,Millet,-0.2686487135583784,-0.1280939663236886,-0.1983713399410335,-1.2798731637867655,-1.0541501752988582,10.533,1.1372235401623194,2.2,57.2,19.0,16666.666666666668,15166.666666666666,7666.666666666667,1714.9999999999998,7666.666666666667
,0-10,NT,Millet,-0.05335766293276536,0.3972928864590493,0.171967611763142,0.07752834634446736,-0.12155535626240435,10.533,1.1372235401623194,1.9,57.2,19.0,16666.666666666668,15166.666666666666,7666.666666666667,1714.9999999999998,7666.666666666667
,0-10,NT,Millet,-0.5113929288640613,-0.7435703257885334,-0.6274816273262973,0.3177880836105845,0.04351369996383877,10.533,1.1372235401623194,1.95,57.2,19.0,16666.666666666668,15166.666666666666,7666.666666666667,1714.9999999999998,7666.666666666667
,0-10,NT,Sunn hemp,0.8022175091623138,1.4164140384051045,1.1093157737837092,-0.3344969818136594,-0.25757402838660903,8.0,-1.1238444396898202,2.0,54.4,18.4,16333.333333333334,15000.0,6666.666666666667,1725.0,6666.666666666667
,0-10,NT,Sunn hemp,0.0381770530551612,0.47124453174715175,0.25471079240115646,-0.28798507632408143,-0.20715498083446376,6.2,-1.1238444396898202,1.9,54.4,18.4,16333.333333333334,15000.0,6666.666666666667,1725.0,6666.666666666667
,0-10,NT,Sunn hemp,0.05059525068942057,0.4519371297351165,0.25126619021226854,-0.22000613753161966,-0.133465603642867,6.4,-1.1238444396898202,1.85,54.4,18.4,16333.333333333334,15000.0,6666.666666666667,1725.0,6666.666666666667
,0-10,NT,Sunn hemp,-0.5049660704284705,-0.6863182718492191,-0.5956421711388449,3.642108308505163,2.703563003418388,15.9,0.6154386217349023,1.78,52.4,18.8,14166.666666666666,12666.666666666666,6833.333333333333,1635.0,6833.333333333333
,0-10,NT,Sunn hemp,0.5074994219157114,1.0266317912234755,0.7670656065695934,4.228873885450612,3.157461890157237,5.2,0.6154386217349023,1.74,52.4,18.8,14166.666666666666,12666.666666666666,6833.333333333333,1635.0,6833.333333333333
,0-10,NT,Sunn hemp,0.548876559260698,1.1678459519337077,0.8583612555972029,4.238631627861025,3.165010097808105,9.1,0.6154386217349023,1.9,52.4,18.8,14166.666666666666,12666.666666666666,6833.333333333333,1635.0,6833.333333333333
,0-10,NT,Sunn hemp,-0.08344372828425115,0.34743212482918784,0.13199419827246833,-0.2604194159639144,-0.16143696737445212,10.533,0.6154386217349023,2.2,54.4,17.6,11333.333333333334,10333.333333333334,5166.666666666667,1405.0,5166.666666666667
,0-10,NT,Sunn hemp,0.03877944990055997,0.5751377259946073,0.3069585879475836,-0.2739505275407158,-0.17658677290111885,10.533,0.6154386217349023,1.97,54.4,17.6,11333.333333333334,10333.333333333334,5166.666666666667,1405.0,5166.666666666667
,0-10,NT,Sunn hemp,0.29572605160640136,0.9675597941861717,0.6316429228962865,-0.2670199581965004,-0.1688271164118507,10.533,0.6154386217349023,2.0,54.4,17.6,11333.333333333334,10333.333333333334,5166.666666666667,1405.0,5166.666666666667
,0-10,NT,Pigeon pea,2.4847660050762346,2.5121669277305148,2.4984664664033747,-0.3218119166801391,-0.35497073671323326,3.1,-0.7759878274048753,1.8,55.8,19.8,17000.0,18666.666666666668,9166.666666666666,1950.0,9166.666666666666
,0-10,NT,Pigeon pea,2.4847660050762346,2.5121669277305148,2.4984664664033747,-0.28050414047610567,-0.322175760840647,4.0,-0.7759878274048753,1.65,55.8,19.8,17000.0,18666.666666666668,9166.666666666666,1950.0,9166.666666666666
,0-10,NT,Pigeon pea,-0.03861269348089692,0.3489433229704121,0.1551653147447576,-0.3231129490015247,-0.356003649339142,8.9,-0.7759878274048753,1.7,55.8,19.8,17000.0,18666.666666666668,9166.666666666666,1950.0,9166.666666666666
,0-10,NT,Pigeon pea,-0.6033487631842702,-0.8937659702243341,-0.7485573667043022,-0.28583150355937176,-0.32853831458598104,12.2,0.2675820094499583,1.95,57.6,19.2,12000.0,12166.666666666666,9000.0,2640.0,9000.0
,0-10,NT,Pigeon pea,-0.634874574490538,-0.9270773826164757,-0.7809759785535069,-0.31520391649437685,-0.3517081113975499,7.4,0.2675820094499583,2.25,57.6,19.2,12000.0,12166.666666666666,9000.0,2640.0,9000.0
,0-10,NT,Pigeon pea,-0.6375589093027305,-0.9329786449171913,-0.7852687771099609,-0.1960641291962068,-0.25772725017309533,9.8,0.2675820094499583,2.0,57.6,19.2,12000.0,12166.666666666666,9000.0,2640.0,9000.0
,0-10,NT,Pigeon pea,-0.41425620780813993,0.9877541925790143,0.28674899238543716,-0.1595081345871315,-0.2011313124920273,10.533,-0.3411670620486952,1.95,55.6,20.4,15833.333333333334,12833.333333333334,4166.666666666667,1128.3333333333333,4166.666666666667
,0-10,NT,Pigeon pea,-0.22934266379266396,0.09938859500674344,-0.06497703439296026,-0.2271618152992469,-0.2579415069169798,10.533,-0.3411670620486952,1.85,55.6,20.4,15833.333333333334,12833.333333333334,4166.666666666667,1128.3333333333333,4166.666666666667
